"time{s}","ControlVolume1\C\p.T{K}","ControlVolume2\C\p.T{K}"
90.4300000000095,329.868407283861,329.885326999634
90.4400000000095,329.868486285699,329.885395843714
90.4500000000095,329.868565240109,329.885464646464
90.4600000000095,329.868644147118,329.885533407908
90.4700000000095,329.868723006755,329.88560212807
90.4800000000096,329.868801819049,329.885670806977
90.4900000000096,329.868880584028,329.885739444652
90.5000000000096,329.86895930172,329.88580804112
90.5100000000096,329.869037972154,329.885876596406
90.5200000000096,329.869116595358,329.885945110535
90.5300000000096,329.86919517136,329.886013583532
90.5400000000096,329.86927370019,329.88608201542
90.5500000000096,329.869352181874,329.886150406226
90.5600000000096,329.869430616442,329.886218755973
90.5700000000096,329.869509003921,329.886287064685
90.5800000000096,329.869587344341,329.886355332389
90.5900000000096,329.869665637729,329.886423559108
90.6000000000096,329.869743884113,329.886491744868
90.6100000000096,329.869822083522,329.886559889691
90.6200000000096,329.869900235984,329.886627993604
90.6300000000096,329.869978341527,329.886696056631
90.6400000000096,329.87005640018,329.886764078796
90.6500000000096,329.870134411969,329.886832060123
90.6600000000096,329.870212376925,329.886900000638
90.6700000000097,329.870290295074,329.886967900365
90.6800000000097,329.870368166444,329.887035759328
90.6900000000097,329.870445991065,329.887103577552
90.7000000000097,329.870523768963,329.887171355061
90.7100000000097,329.870601500167,329.88723909188
90.7200000000097,329.870679184706,329.887306788032
90.7300000000097,329.870756822606,329.887374443544
90.7400000000097,329.870834413896,329.887442058438
90.7500000000097,329.870911958605,329.88750963274
90.7600000000097,329.870989456759,329.887577166473
90.7700000000097,329.871066908387,329.887644659662
90.7800000000097,329.871144313517,329.887712112332
90.7900000000097,329.871221672177,329.887779524506
90.8000000000097,329.871298984394,329.887846896209
90.8100000000097,329.871376250198,329.887914227466
90.8200000000097,329.871453469614,329.8879815183
90.8300000000097,329.871530642671,329.888048768736
90.8400000000097,329.871607769398,329.888115978798
90.8500000000097,329.871684849822,329.888183148511
90.8600000000097,329.87176188397,329.888250277898
90.8700000000098,329.871838871871,329.888317366984
90.8800000000098,329.871915813551,329.888384415793
90.8900000000098,329.87199270904,329.888451424349
90.9000000000098,329.872069558365,329.888518392676
90.9100000000098,329.872146361553,329.888585320799
90.9200000000098,329.872223118632,329.888652208741
90.9300000000098,329.87229982963,329.888719056527
90.9400000000098,329.872376494575,329.888785864181
90.9500000000098,329.872453113493,329.888852631727
90.9600000000098,329.872529686414,329.888919359189
90.9700000000098,329.872606213363,329.888986046591
90.9800000000098,329.87268269437,329.889052693957
90.9900000000098,329.872759129461,329.889119301311
91.0000000000098,329.872835518665,329.889185868677
91.0100000000098,329.872911862008,329.88925239608
91.0200000000098,329.872988159518,329.889318883543
91.0300000000098,329.873064411223,329.889385331089
91.0400000000098,329.87314061715,329.889451738745
91.0500000000098,329.873216777327,329.889518106532
91.0600000000099,329.873292891781,329.889584434475
91.0700000000099,329.873368960539,329.889650722598
91.0800000000099,329.87344498363,329.889716970925
91.0900000000099,329.87352096108,329.889783179479
91.1000000000099,329.873596892917,329.889849348285
91.1100000000099,329.873672779168,329.889915477367
91.1200000000099,329.873748619861,329.889981566748
91.1300000000099,329.873824415022,329.890047616452
91.1400000000099,329.87390016468,329.890113626503
91.1500000000099,329.873975868862,329.890179596925
91.1600000000099,329.874051527594,329.890245527741
91.1700000000099,329.874127140905,329.890311418976
91.1800000000099,329.874202708821,329.890377270653
91.1900000000099,329.87427823137,329.890443082796
91.2000000000099,329.874353708579,329.890508855428
91.2100000000099,329.874429140475,329.890574588573
91.2200000000099,329.874504527086,329.890640282256
91.2300000000099,329.874579868438,329.890705936499
91.2400000000099,329.874655164559,329.890771551327
91.2500000000099,329.874730415475,329.890837126763
91.26000000001,329.874805621215,329.89090266283
91.27000000001,329.874880781805,329.890968159553
91.28000000001,329.874955897272,329.891033616954
91.29000000001,329.875030967643,329.891099035059
91.30000000001,329.875105992946,329.891164413889
91.31000000001,329.875180973208,329.891229753469
91.32000000001,329.875255908455,329.891295053822
91.33000000001,329.875330798714,329.891360314973
91.34000000001,329.875405644013,329.891425536943
